TYPE, COUNT, CATEGORY
MultipleChoiceRadio, 5, $course$/top/Закрытый тип/Альтернативный выбор/(АВ) Простые
MultipleChoiceRadio, 17, $course$/top/Закрытый тип/Альтернативный выбор/(АВ) Средне-сложные
MultipleChoiceCheckbox, 10, $course$/top/Закрытый тип/Альтернативный выбор/(АВ) Средне-сложные
MultipleChoiceRadio, 3, $course$/top/Закрытый тип/Альтернативный выбор/(АВ) Сложные
Matching, 2, $course$/top/Закрытый тип/Установление последовательности//соответствия/(П//С) Простые
Matching, 7, $course$/top/Закрытый тип/Установление последовательности//соответствия/(П//С) Средне-сложные
Matching, 1, $course$/top/Закрытый тип/Установление последовательности//соответствия/(П//С) Сложные
Short, 7, $course$/top/Открытый тип/(Откр) Простые
Short, 24, $course$/top/Открытый тип/(Откр) Средне-сложные
Short, 4, $course$/top/Открытый тип/(Откр) Сложные
Essay, 1, $course$/top/Открытый тип/(ЭССЕ) Простые
Essay, 3, $course$/top/Открытый тип/(ЭССЕ) Средне-сложные
Essay, 1, $course$/top/Открытый тип/(ЭССЕ) Сложные
